Key,Type,Desc,English,Russian,German,Chinese (Simplified),Chinese (Traditional),French,Portuguese (Brazil),Korean,Japanese,Italian,Turkish,Arabic,Swedish,Norwegian,Danish,Polish,Spanish,Finnish,Dutch (Netherlands),Portuguese,Greek,Hungarian,Romanian,Bulgariaa,Thai,Czech,Ukrainian
MOUSE SENSITIVITY,Text,,MOUSE SENSITIVITY,ЧУВСТВИТЕЛЬНОСТЬ МЫШИ,MAUS-EMPFINDLICHKEIT,鼠标灵敏度,鼠標靈敏度,SENSIBILITÉ DE LA SOURIS,SENSIBILIDADE DO MOUSE,마우스 감도,マウス感度,SENSIBILITÀ DEL MOUSE,FARE HASSASIYETI,حساسية الفأرة,MUSENS KÄNSLIGHET,MUS FØLSOMHET,MUSENS FØLSOMHED,CZUŁOŚĆ MYSZY,SENSIBILIDAD DEL RATON,HIIREN HERKKYYS,MUIS GEVOELIGHEID,SENSIBILIDADE DO RATO,[i2auto]ΕΥΑΙΣΘΗΣΊΑ ΤΟΥ ΠΟΝΤΙΚΙΟΎ,[i2auto]EGÉR ÉRZÉKENYSÉGÉT,[i2auto]SENSIBILITATEA MOUSE-ULUI,[i2auto]ЧУВСТВИТЕЛНОСТТА НА МИШКАТА,[i2auto]ความไวของเมาส์,[i2auto]CITLIVOST MYŠI,[i2auto]ЧУТЛИВІСТЬ МИШІ
FIELD OF VIEW (VERTICAL),Text,,FIELD OF VIEW (VERTICAL),УГОЛ ОБЗОРА (ВЕРТИКАЛЬНЫЙ),SICHTFELD (VERTIKAL),视角,視角,ANGLE DE VISION (VERTICAL),PONTO DE VISTA (VERTICAL),시야각,視角,ANGOLO DI VISIONE,GÖRÜŞ AÇISI,زاوية الرؤية,BETRAKTNINGSVINKEL,VISNINGSVINKEL,BETRAGTNINGSVINKEL,POLE WIDZENIA,CAMPO DE VISION (VERTICAL),KATSELUKULMA,KIJK HOEK,CAMPO DE VISÃO (VERTICAL),[i2auto]ΟΠΤΙΚΌ ΠΕΔΊΟ (ΚΆΘΕΤΟ),[i2auto]MEZŐ (MERŐLEGES),[i2auto]CÂMP (PERPENDICULAR),[i2auto]ПОЛЕ (ПЕРПЕНДИКУЛЯРНО),[i2auto]ฟิลด์ (ตั้งฉาก),[i2auto]POLE (KOLMÉ),[i2auto]ПОЛЕ (ПЕРПЕНДИКУЛЯРНИЙ ДО)
MASTER VOLUME,Text,,MASTER VOLUME,ГРОМКОСТЬ ИГРЫ,GESAMTLAUTSTÄRKE,主音量,主音量,VOLUME PRINCIPAL,VOLUME PRINCIPAL,마스터 볼륨,マスターボリューム,VOLUME PRINCIPALE,ANA SES,الصوت الرئيسي,MASTERVOLYM,HOVEDVOLUMET,MASTER VOLUMEN,GŁOŚNOŚĆ,VOLUMEN PRINCIPAL,MASTER VOLUME,HOOFD VOLUME,VOLUME GLOBAL,[i2auto]ΠΛΟΊΑΡΧΟΣ ΤΟΥ ΌΓΚΟΥ,[i2auto]MASTER TUMOR,[i2auto]TUMORA MASTER,[i2auto]MASTER ТУМОР,[i2auto]เนื้องอก MASTER,[i2auto]MASTER NÁDOR,[i2auto]MASTER ПУХЛИНИ
SOUND EFFECTS VOLUME,Text,,SOUND EFFECTS VOLUME,Громкость Эффектов,GERÄUSCH LAUTSTÄRKE,的声音效果的量,的聲音效果的量,VOLUME DES EFFETS SONORES,O VOLUME DE EFEITOS SONOROS,효과음의 음량,効果音の音量,IL VOLUME DEGLI EFFETTI SONORI,SES EFEKTLERI SESI,حجم المؤثرات الصوتية,VOLYMEN AV LJUDEFFEKTER,VOLUMET AV LYDEFFEKTER,MÆNGDEN AF ​​LYDEFFEKTER,GŁOŚNOŚĆ EFEKTÓW DŹWIĘKOWYCH,VOLUMEN DE LOS EFECTOS DE SONIDO,ÄäNITEHOSTEIDEN ääNENVOIMAKKUUS,GELUIDSEFFECTEN,VOLUME DOS EFEITOS SONOROS,[i2auto]ΌΓΚΟ ΗΧΗΤΙΚΆ ΕΦΈ,[i2auto]KÖTET HANGHATÁSOK,[i2auto]EFECTE DE SUNET DE VOLUM,[i2auto]ОБЕМ НА ЗВУКОВИ ЕФЕКТИ,[i2auto]ผลกระทบเสียงปริมาณ,[i2auto]HLASITOSTI EFEKTY,[i2auto]ОБСЯГ ЗВУКОВІ ЕФЕКТИ
MUSIC VOLUME,Text,,MUSIC VOLUME,Громкость Музыки,MUSIK LAUTSTÄRKE,的音乐的音量,的音樂的音量,VOLUME DE LA MUSIQUE,O VOLUME DA MÚSICA,음악의 음량,音楽の音量,IL VOLUME DELLA MUSICA,MÜZIK VE SES,حجم الموسيقى,VOLYMEN AV MUSIK,VOLUMET AV MUSIKKEN,MÆNGDEN AF ​​MUSIKKEN,GłOśNOść MUZYKI,VOLUMEN DE LA MUSICA,MUSIIKIN ääNENVOIMAKKUUS,MUZIEK VOLLUME,VOLUME DA MÚSICA,[i2auto]ΈΝΤΑΣΗ ΤΗΣ ΜΟΥΣΙΚΉΣ,[i2auto]INTENZITÁS MUSIC,[i2auto]MUSIC INTENSITATE,[i2auto]ИНТЕНЗИВНОСТ MUSIC,[i2auto]MUSIC เข้ม,[i2auto]INTENZITA MUSIC,[i2auto]ІНТЕНСИВНІСТЬ MUSIC
NOTIFICATIONS VOLUME,Text,,NOTIFICATIONS VOLUME,Громкость Уведомлений,BENACHRICHTIGUNGS LAUTSTÄRKE,通知量,通知量,VOLUME DES NOTIFICATIONS,A QUANTIDADE DE AVISO,통지의 양,通知の量,LA QUANTITÀ DI PREAVVISO,BILDIRIM SESLERI,كمية إشعار,NOTIFIKATIONS VOLYM,MENGDEN AV INNKALLING,MÆNGDEN AF ​​BEKENDTGØRELSEN,ILOŚĆ POWIADOMIENIA,VOLUMEN DE LAS NOTIFICACIONES,ILMOITUSTEN ääNENVOIMAKKUUS,NOTIFICATIES,VOLUME DE NOTIFICAÇÕES,[i2auto]ΌΓΚΟΣ ΤΩΝ ΚΟΙΝΟΠΟΙΉΣΕΩΝ,[i2auto]VOLUME ÉRTESÍTÉSEK,[i2auto]NOTIFICĂRI VOLUME,[i2auto]УВЕДОМЛЕНИЯ VOLUME,[i2auto]การแจ้งเตือน VOLUME,[i2auto]OZNÁMENÍ VOLUME,[i2auto]ПОВІДОМЛЕННЯ ТОМ
ALLOW DYNAMIC OPTIMIZATION,Text,,ALLOW DYNAMIC OPTIMIZATION,Разрешить динамическую оптимизацию,DYNAMISCHE OPTIMIERUNG ERLAUBEN,允许动态OPTIIMIZATION,允許動態OPTIIMIZATION,PERMETTRE L'OPTIMISATION DYNAMIQUE,PERMITIR OPTIMIZAÇÃO DINÂMICA,동적 OPTIIMIZATION을 허용,ダイナミックOPTIIMIZATIONを許可します,CONSENTIRE OPTIIMIZATION DINAMICA,DINAMIK OPTIMIZASYONLARA IZIN VER,السماح OPTIIMIZATION ديناميكية,TILLåT DYNAMISK OPTIMIZATION,TILLAT DYNAMISK OPTIMALISERING,TILLADE DYNAMISK OPTIIMIZATION,UMOŻLIWIAJĄ DYNAMICZNĄ OPTIIMIZATION,PERMITIR OPTIMIZACION DINAMICA,SALLIA DYNAAMINEN OPTIIMIZATION,DYNAMISCHE OPTIES TOESTAAN,PERMITIR OTIMIZAÇÃO DINÂMICA,[i2auto]ΕΠΙΤΡΈΠΟΥΝ ΤΗ ΔΥΝΑΜΙΚΉ ΒΕΛΤΙΣΤΟΠΟΊΗΣΗ,[i2auto]LEHETŐVÉ TESZI A DINAMIKUS OPTIMALIZÁLÁS,[i2auto]PERMITE OPTIMIZAREA DINAMICĂ,[i2auto]ПОЗВОЛИ ДИНАМИЧНА ОПТИМИЗАЦИЯ,[i2auto]เปิดใช้งานการเพิ่มประสิทธิภาพแบบไดนามิก,[i2auto]UMOŽŇUJÍ DYNAMICKÉ OPTIMALIZACE,[i2auto]ВКЛЮЧИТИ ДИНАМІЧНИЙ КОНТРАСТ І ПІДСИЛЕННЯ
APPLY CHANGES,Text,,APPLY CHANGES,ПРИМЕНИТЬ ИЗМЕНЕНИЯ,ÄNDERUNGEN ÜBERNEHMEN,应用更改,應用更改,APPLIQUER LES MODIFICATIONS,APLICAR MUDANÇAS,변경 사항을 적용,変更を適用します,APPLICA I CAMBIAMENTI,DEĞIŞIKLIKLERI UYGULA,نفذ التغييرات,APPLICERA FÖRÄNDRINGAR,AKSEPTER ENDRINGER,ANVENDE ÆNDRINGERNE,ZATWIERDŹ ZMIANY,APLICAR CAMBIOS,OTA MUUTOKSET KÄYTTÖÖN,VERANDERINGEN TOEPASSEN,APLICAR MUDANÇAS,[i2auto]ΕΦΑΡΜΟΓΉ ΤΩΝ ΑΛΛΑΓΏΝ,[i2auto]VÁLTOZÁSOK VÉGREHAJTÁSÁHOZ,[i2auto]PUNEREA ÎN APLICARE A MODIFICĂRILOR,[i2auto]ПРИЛАГАНЕ НА ПРОМЕНИ,[i2auto]ดำเนินการเปลี่ยนแปลง,[i2auto]IMPLEMENTOVAT ZMĚNY,[i2auto]ВНОСИТИ ЗМІНИ
CANCEL CHANGES,Text,,CANCEL CHANGES,ОТМЕНИТЬ ИЗМЕНЕНИЯ,ÄNDERUNGEN VERWERFEN,取消更改,取消更改,ANNULER LES MODIFICATIONS,CANCELAR AS ALTERAÇÕES,변경 사항을 취소,変更をキャンセル,ANNULLARE LE MODIFICHE,DEĞIŞIKLIKLERI IPTAL ET,إلغاء التغييرات,AVBRYTA ÄNDRINGARNA,AVBRYTE ENDRINGER,ANNULLERE ÆNDRINGER,ANULOWAĆ ZMIANY,CANCELAR CAMBIOS,PERUUTA MUUTOKSET,VERANDERINGEN ANNULEREN,	CANCELAR ALTERAÇÕES,[i2auto]ΑΚΥΡΏΣΕΤΕ ΤΙΣ ΑΛΛΑΓΈΣ,[i2auto]ELVETÉSÉHEZ,[i2auto]ANULAțI MODIFICĂRILE,[i2auto]ОТКАЗВАНЕ НА ПРОМЕНИ,[i2auto]ยกเลิกการเปลี่ยนแปลง,[i2auto]ZRUŠENÍ ZMĚN,[i2auto]СКАСУВАТИ ЗМІНИ
CANCEL CHANGES[touch],Text,,,,,,,,,,,,,,,,,,,,,CANCELAR ALTERAÇÕES,[i2auto]ΑΚΥΡΏΣΕΤΕ ΤΙΣ ΑΛΛΑΓΈΣ,[i2auto]ELVETÉSÉHEZ,[i2auto]ANULAțI MODIFICĂRILE,[i2auto]ОТКАЗВАНЕ НА ПРОМЕНИ,[i2auto]ยกเลิกการเปลี่ยนแปลง,[i2auto]ZRUŠENÍ ZMĚN,[i2auto]СКАСУВАТИ ЗМІНИ
PRESET,Text,,PRESET,ПРЕДУСТАНОВКИ,VOREINSTELLUNG,预设,預設,PRÉDÉFINI,PRÉ-DEFINIÇÃO,사전,プリセット,PRESET,ÖNCEDEN AYARLANMIŞ,مسبقا,FÖRINSTÄLLA,FORHÅNDSINNSTILT,FORUDINDSTILLET,USTAWIENIE,PROGRAMAR,VALMIIKSI,STANDAARD,PREDEFINIÇÃO,[i2auto]ΠΡΟΚΑΘΟΡΙΣΜΈΝΟ,[i2auto]ALAPÉRTELMEZETT,[i2auto]LIPSĂ,[i2auto]ПОДРАЗБИРАНЕ,[i2auto]ผิดนัด,[i2auto]STANDARDNÍ,[i2auto]ДЕФОЛТ
LOW,Text,,LOW,НИЗКИЙ,NIEDRIG,低,低,BAS,BAIXO,낮은,低いです,BASSO,DÜŞÜK,منخفض,LÅG,LAV,LAV,NISKIE,BAJO,MATALA,LAAG,BAIXO,[i2auto]ΧΑΜΗΛΌΣ,[i2auto]LOW,[i2auto]LOW,[i2auto]LOW,[i2auto]ต่ำ,[i2auto]LOW,[i2auto]LOW
MEDIUM,Text,,MEDIUM,СРЕДНИЙ,MITTEL,平均,平均,MOYEN,MÉDIA,평균,平均,MEDIA,ORTALAMA,متوسط,MEDIUM,MEDIUM,GENNEMSNIT,ŚREDNIE,MEDIO,KESKIMÄÄRIN,GEMIDDELD,MÉDIO,[i2auto]ΜΈΣΟΝ,[i2auto]KÖZEPES,[i2auto]MEDIU,[i2auto]СРЕДА,[i2auto]กลาง,[i2auto]STŘEDNÍ,[i2auto]СЕРЕДА
HIGH,Text,,HIGH,Высокий,HOCH,高,高,HAUT,ALTO,높은,高い,ALTO,YÜKSEK,عالي,HÖG,HØY,HØJ,WYSOKIE,ALTO,KORKEA,HOOG,ALTO,[i2auto]ΨΗΛΆ,[i2auto]NAGY,[i2auto]MARE,[i2auto]ВИСОКО,[i2auto]สูง,[i2auto]VYSOKÝ,[i2auto]ВИСОКА
WINDOW,Text,,WINDOW,Оконный,FENSTER,窗口,窗口,MODE FENêTRE,JANELA,창문,ウィンドウ,FINESTRA,PENCERE,نافذة,FÖNSTER,VINDU,VINDUE,OKNO,MODO VENTANA,IKKUNA,GERUIT,JANELA,[i2auto]ΠΑΡΆΘΥΡΟ,[i2auto]ABLAK,[i2auto]FEREASTRĂ,[i2auto]ПРОЗОРЕЦ,[i2auto]หน้าต่าง,[i2auto]OKNO,[i2auto]ВІКНО
FULLSCREEN,Text,,FULLSCREEN,ПОЛНОЭКРАННЫЙ,VOLLBILD,全屏,全屏,PLEIN ÉCRAN,TELA CHEIA,전체 화면,全画面表示,A SCHERMO INTERO,TAM EKRAN,تكبير الشاشة,FULLSKÄRM,FULL SKJERM,FULD SKÆRM,PEŁNY EKRAN,MODO PANTALLA COMPLETA,KOKO NÄYTTÖ,VOLLEDIG SCHERM,ECRÃ INTEIRO,[i2auto]ΠΛΗΡΗΣ ΟΘΟΝΗ,[i2auto]FULL SCREEN,[i2auto]ECRAN FULL,[i2auto]FULL SCREEN,[i2auto]เต็มหน้าจอ,[i2auto]FULL SCREEN,[i2auto]FULL SCREEN
VSYNC OFF,Text,,VSYNC OFF,Вертикальная Синхронизация Отключена,VSYNC AUS,垂直同步关闭,垂直同步關閉,VSYNC OFF,VSYNC OFF,VSYNC 오프,VSYNCオフ,VSYNC OFF,VSYNC KAPALI,VSYNC قبالة,VSYNC OFF,VSYNC AV,VSYNC FRA,VSYNC OFF,VSYNC APAGADO,VSYNC POIS,VSYNC UIT,VSYNC DESLIGADO,[i2auto]VSYNC OFF,[i2auto]VSYNC OFF,[i2auto]VSYNC OFF,VSYNC OFF,[i2auto]VSYNC ปิด,[i2auto]VSYNC OFF,[i2auto]VSYNC ВИМКНЕНИЙ
VSYNC ON,Text,,VSYNC ON,VSYNC ВКЛЮЧЁН,VSYNC AN,VSYNC上,VSYNC上,VSYNC ON,VSYNC ATIVADO,에 수직 동기화,上のVSYNC,VSYNC SU,VSYNC AçıK,VSYNC على,VSYNC PÅ,VSYNC PÅ,VSYNC PÅ,VSYNC NA,VSYNC PRENDIDO,VSYNC ON,VSYNC AAN,VSYNC LIGADO,[i2auto]VSYNC ΓΙΑ,[i2auto]VSYNC SZÁMÁRA,[i2auto]VSYNC PENTRU,VYSNC ON,[i2auto]VSYNC สำหรับ,[i2auto]VSYNC PRO,[i2auto]VSYNC ДЛЯ
ANTIALIASING OFF,Text,,ANTIALIASING OFF,Сглаживание Отключено,ANTIALIASING AUSSCHALTEN,抗锯齿关闭,抗鋸齒關閉,ANTICRÉNELAGE OFF,ANTIALIASING OFF,오프 앤티 앨리어싱,アンチエイリアス機能,ANTIALIAS OFF,KAPALI ANTIALIASING,الحواف خارج,KANTUTJÄMNING AV,ANTIALIASING OFF,ANTIALIASING OFF,ANTIALIASING WYŁĄCZONY,ANTIALIASING APAGADO,ANTIALIASING POIS,ANTI-ALIASING UITGESCHAKELD,ANTIALIASING DESLIGADO,[i2auto]ANTIALIASING OFF,[i2auto]ÉLSIMÍTÁS KIKAPCSOLÁSA,[i2auto]ANTIALIASING OFF,[i2auto]ЗАГЛАЖДАНЕ НА РАЗСТОЯНИЕ,[i2auto]การลดรอยหยักปิด,[i2auto]ANTIALIASING OFF,[i2auto]АНТИАЛИАСИНГ ВИМКНЕНИЙ
ANTIALIASING (FXAA),Text,,ANTIALIASING (FXAA),СГЛАЖИВАНИЕ (FXAA),ANTIALIASING (FXAA),抗锯齿（FXAA）,抗鋸齒（FXAA）,ANTICRÉNELAGE (FXAA),ANTIALIASING (FXAA),안티 앨리어싱 (FXAA),アンチエイリアシング（FXAA）,ANTIALIASING (FXAA),ANTIALIASING (FXAA),الحواف (FXAA),KANTUTJÄMNING (FXAA),ANTIALIASING (FXAA),ANTIALIASING (FXAA),ANTYALIASING (FXAA),ANTIALIASING (FXAA),ANTIALIASING (FXAA),ANTIALIASING (FXAA),ANTIALIASING (FXAA),[i2auto]ANTIALIASING (FXAA),[i2auto]ÉLSIMÍTÁS (FXAA),[i2auto]ANTIALIASING (FXAA),[i2auto]ЗАГЛАЖДАНЕ (FXAA),[i2auto]ลดรอยหยัก (FXAA),[i2auto]ANTIALIASING (FXAA),[i2auto]ЗГЛАДЖУВАННЯ (FXAA)
ANTIALIASING (SMAA),Text,,ANTIALIASING (SMAA),Сглаживание (SMAA),ANTIALIASING (SMAA),抗锯齿（小）,抗鋸齒（小）,ANTICRÉNELAGE (SMAA),ANTIALIASING (PEQUENO),안티 앨리어싱 (작은),アンチエイリアシング（小）,ANTIALIASING (PICCOLO),ANTIALIASING (SMAA),الحواف (صغير),KANTUTJÄMNING (LITEN),ANTIALIASING (LITEN),ANTIALIASING (LILLE),ANTYALIASING (SMAA),ANTIALIASING (SMAA),ANTIALIASING (PIENI),ANTIALIASING (SMAA),ANTIALIASING (SMAA),ANTIALIASING (SMAA),[i2auto]ÉLSIMÍTÁS (SMAA),[i2auto]ANTIALIASING (SMAA),[i2auto]ЗАГЛАЖДАНЕ (SMAA),[i2auto]ลดรอยหยัก (SMAA),ANTIALIASING (SMAA),[i2auto]ЗГЛАДЖУВАННЯ (SMAA)
