Key,Type,Desc,English,Russian,German,Chinese (Simplified),Chinese (Traditional),French,Portuguese (Brazil),Korean,Japanese,Italian,Turkish,Arabic,Swedish,Norwegian,Danish,Polish,Spanish,Finnish,Dutch (Netherlands),Portuguese,Greek,Hungarian,Romanian,Bulgariaa,Thai,Czech,Ukrainian
MOUSE SENSITIVITY,Text,,MOUSE SENSITIVITY,ЧУВСТВИТЕЛЬНОСТЬ МЫШИ,MAUS-EMPFINDLICHKEIT,鼠标灵敏度,鼠標靈敏度,SENSIBILITÉ DE LA SOURIS,SENSIBILIDADE DO MOUSE,마우스 감도,マウス感度,SENSIBILITÀ DEL MOUSE,FARE HASSASIYETI,حساسية الفأرة,MUSENS KÄNSLIGHET,MUS FØLSOMHET,FØLSOMHED AF MUS,CZUŁOŚĆ MYSZY,SENSIBILIDAD DEL RATON,HIIREN HERKKYYS,MUIS GEVOELIGHEID,SENSIBILIDADE DO MOUSE,ΕΥΑΙΣΘΗΣΊΑ ΤΟΥ ΠΟΝΤΙΚΙΟΎ,EGÉR ÉRZÉKENYSÉGÉT,SENSIBILITATEA MOUSE-ULUI,ЧУВСТВИТЕЛНОСТТА НА МИШКАТА,ความไวของเมาส์,CITLIVOST MYŠI,ЧУТЛИВІСТЬ МИШІ
FIELD OF VIEW (VERTICAL),Text,,FIELD OF VIEW (VERTICAL),УГОЛ ОБЗОРА (ВЕРТИКАЛЬНЫЙ),SICHTFELD (VERTIKAL),垂直视角,視角,ANGLE DE VISION (VERTICAL),CAMPO DE VISÃO (VERTICAL),시야각,視野角　(垂直FOV),ANGOLO DI VISIONE,GÖRÜŞ AÇISI,زاوية الرؤية,BETRAKTNINGSVINKEL,VISNINGSVINKEL,BETRAGTNINGSVINKEL,POLE WIDZENIA,CAMPO DE VISION (VERTICAL),KATSELUKULMA,KIJK HOEK,CAMPO DE VISÃO (VERTICAL),ΟΠΤΙΚΌ ΠΕΔΊΟ (ΚΆΘΕΤΟ),MEZŐ (MERŐLEGES),CÂMP (PERPENDICULAR),ПОЛЕ (ПЕРПЕНДИКУЛЯРНО),ฟิลด์ (ตั้งฉาก),POLE (KOLMÉ),ПОЛЕ (ПЕРПЕНДИКУЛЯРНИЙ ДО)
MASTER VOLUME,Text,,MASTER VOLUME,Общая громкость,GESAMTLAUTSTÄRKE,主音量,主音量,VOLUME PRINCIPAL,VOLUME PRINCIPAL,마스터 볼륨,マスターボリューム,VOLUME PRINCIPALE,ANA SES,الصوت الرئيسي,MASTERVOLYM,HOVEDVOLUMET,PRIMæR LYD,GŁOŚNOŚĆ,VOLUMEN PRINCIPAL,PÄÄVOIMAKKUUS,HOOFD VOLUME,VOLUME GLOBAL,ΠΛΟΊΑΡΧΟΣ ΤΟΥ ΌΓΚΟΥ,MASTER TUMOR,TUMORA MASTER,MASTER ТУМОР,เนื้องอก MASTER,MASTER NÁDOR,MASTER ПУХЛИНИ
SOUND EFFECTS VOLUME,Text,,SOUND EFFECTS VOLUME,Громкость Эффектов,LAUTSTäRKE FüR GERäUSCHEFFEKTE,音效音量,音效音量,VOLUME DES EFFETS SONORES,VOLUME DOS EFEITOS,효과음의 음량,効果音の音量,VOLUME EFFETTI SONORI,SES EFEKT SEVİYESİ,حجم المؤثرات الصوتية,VOLYMEN AV LJUDEFFEKTER,LYDEFFEKTER VOLUM,LYD EFFEKTER LYDSTYRKE,GŁOŚNOŚĆ EFEKTÓW DŹWIĘKOWYCH,VOLUMEN DE LOS EFECTOS DE SONIDO,ÄäNITEHOSTEIDEN ääNENVOIMAKKUUS,GELUIDSEFFECTEN,VOLUME DOS EFEITOS SONOROS,ΌΓΚΟ ΗΧΗΤΙΚΆ ΕΦΈ,KÖTET HANGHATÁSOK,EFECTE DE SUNET DE VOLUM,ОБЕМ НА ЗВУКОВИ ЕФЕКТИ,ผลกระทบเสียงปริมาณ,HLASITOSTI EFEKTY,ОБСЯГ ЗВУКОВІ ЕФЕКТИ
MUSIC VOLUME,Text,,MUSIC VOLUME,Громкость Музыки,MUSIK LAUTSTÄRKE,音乐音量,音樂音量,VOLUME DE LA MUSIQUE,VOLUME DA MÚSICA,음악의 음량,音楽の音量,VOLUME MUSICA,MÜZİK SESİ,حجم الموسيقى,MUSIKVOLYM,MUSIKK VOLUM,MUSIK LYDSTYRKE,GłOśNOść MUZYKI,VOLUMEN DE LA MUSICA,MUSIIKIN ääNENVOIMAKKUUS,MUZIEK VOLUME,VOLUME DA MÚSICA,ΈΝΤΑΣΗ ΤΗΣ ΜΟΥΣΙΚΉΣ,ZENE ERŐSSÉG,MUSIC INTENSITATE,ИНТЕНЗИВНОСТ MUSIC,MUSIC เข้ม,INTENZITA MUSIC,ІНТЕНСИВНІСТЬ MUSIC
NOTIFICATIONS VOLUME,Text,,NOTIFICATIONS VOLUME,Громкость Уведомлений,BENACHRICHTIGUNGS LAUTSTÄRKE,提示音量,通知量,VOLUME DES NOTIFICATIONS,VOLUME DE NOTIFICAÇÃO,통지의 양,通知の音量,VOLUME NOTIFICHE,BİLDİRİM SES SEVİYESİ,كمية إشعار,NOTIFIKATIONSVOLYM,VARSEL VOLUM,NOTIFIKATION LYDSTYRKE,GłOśNOść POWIADOMIEń,VOLUMEN DE LAS NOTIFICACIONES,ILMOITUSTEN ääNENVOIMAKKUUS,NOTIFICATIE VOLUME,VOLUME DE NOTIFICAÇÕES,ΌΓΚΟΣ ΤΩΝ ΚΟΙΝΟΠΟΙΉΣΕΩΝ,VOLUME ÉRTESÍTÉSEK,NOTIFICĂRI VOLUME,УВЕДОМЛЕНИЯ VOLUME,การแจ้งเตือน VOLUME,OZNÁMENÍ VOLUME,ПОВІДОМЛЕННЯ ТОМ
ALLOW DYNAMIC OPTIMIZATION,Text,,ALLOW DYNAMIC OPTIMIZATION,Разрешить динамическую оптимизацию,DYNAMISCHE OPTIMIERUNG ERLAUBEN,允许动态优化,允許動態優化,PERMETTRE L'OPTIMISATION DYNAMIQUE,PERMITIR OPTIMIZAÇÃO DINÂMICA,동적 OPTIIMIZATION을 허용,ダイナミックOPTIIMIZATIONを許可します,CONSENTIRE OPTIIMIZATION DINAMICA,DİNAMİK OPTİMİZASYON İZİN VER,السماح OPTIIMIZATION ديناميكية,TILLÅT DYNAMISK OPTIMERING,TILLAT DYNAMISK OPTIMALISERING,TILLAD DYNAMISK OPTIMERING,UMOŻLIW DYNAMICZNĄ OPTYMIZACJE,PERMITIR OPTIMIZACION DINAMICA,SALLI DYNAAMINEN OPTIMISOINTI,DYNAMISCHE OPTIES TOESTAAN,PERMITIR OTIMIZAÇÃO DINÂMICA,ΕΠΙΤΡΈΠΟΥΝ ΤΗ ΔΥΝΑΜΙΚΉ ΒΕΛΤΙΣΤΟΠΟΊΗΣΗ,LEHETŐVÉ TESZI A DINAMIKUS OPTIMALIZÁLÁS,PERMITE OPTIMIZAREA DINAMICĂ,ПОЗВОЛИ ДИНАМИЧНА ОПТИМИЗАЦИЯ,เปิดใช้งานการเพิ่มประสิทธิภาพแบบไดนามิก,UMOŽŇUJÍ DYNAMICKÉ OPTIMALIZACE,ВКЛЮЧИТИ ДИНАМІЧНИЙ КОНТРАСТ І ПІДСИЛЕННЯ
APPLY CHANGES,Text,,APPLY CHANGES,ПРИМЕНИТЬ ИЗМЕНЕНИЯ,ÄNDERUNGEN ÜBERNEHMEN,应用更改,應用更改,APPLIQUER LES MODIFICATIONS,APLICAR,변경 사항을 적용,変更を適用します,APPLICA I CAMBIAMENTI,DEĞIŞIKLIKLERI UYGULA,نفذ التغييرات,VERKSTäLL äNDRINGAR,AKSEPTER ENDRINGER,ANVEND ÆNDRINGER,ZATWIERDŹ ZMIANY,APLICAR CAMBIOS,KÄYTÄ,VERANDERINGEN TOEPASSEN,APLICAR MUDANÇAS,ΕΦΑΡΜΟΓΉ ΤΩΝ ΑΛΛΑΓΏΝ,VÁLTOZTATÁSOK VÉGREHAJTÁSA,PUNEREA ÎN APLICARE A MODIFICĂRILOR,ПРИЛАГАНЕ НА ПРОМЕНИ,ดำเนินการเปลี่ยนแปลง,IMPLEMENTOVAT ZMĚNY,ВНОСИТИ ЗМІНИ
CANCEL CHANGES,Text,,CANCEL CHANGES,ОТМЕНИТЬ ИЗМЕНЕНИЯ,ÄNDERUNGEN VERWERFEN,取消更改,取消更改,ANNULER LES MODIFICATIONS,CANCELAR,변경 사항을 취소,変更をキャンセル,ANNULLARE LE MODIFICHE,DEĞIŞIKLIKLERI IPTAL ET,إلغاء التغييرات,AVBRYTA ÄNDRINGARNA,AVBRYTE ENDRINGER,ANNULER ÆNDRINGER,ANULUJ ZMIANY,CANCELAR CAMBIOS,PERUUTA MUUTOKSET,VERANDERINGEN ANNULEREN,CANCELAR ALTERAÇÕES,ΑΚΥΡΏΣΕΤΕ ΤΙΣ ΑΛΛΑΓΈΣ,VÁLTOZTATÁSOK ELVETÉSE,ANULAțI MODIFICĂRILE,ОТКАЗВАНЕ НА ПРОМЕНИ,ยกเลิกการเปลี่ยนแปลง,ZRUŠENÍ ZMĚN,СКАСУВАТИ ЗМІНИ
PRESET,Text,,PRESET,ПРЕДУСТАНОВКИ,VOREINSTELLUNG,预设,預設,PRÉDÉFINI,PRÉ-DEFINIÇÃO,사전,プリセット,PRESET,ÖNCEKİ AYAR,مسبقا,FÖRINSTÄLLNING,FORHÅNDSINNSTILT,FORUDINDSTILLET,USTAWIENIE,PROGRAMAR,ESIASETUS,STANDAARD,PREDEFINIÇÃO,ΠΡΟΚΑΘΟΡΙΣΜΈΝΟ,ALAPÉRTELMEZETT,LIPSĂ,ПОДРАЗБИРАНЕ,ผิดนัด,STANDARDNÍ,ДЕФОЛТ
LOW,Text,,LOW,Низкое качество,NIEDRIG,低,低,BAS,BAIXO,낮은,低,BASSO,DÜŞÜK,منخفض,LÅG,LAV,LAV,NISKIE,BAJO,MATALA,LAAG,BAIXO,ΧΑΜΗΛΌΣ,ALACSONY,LOW,LOW,ต่ำ,LOW,LOW
MEDIUM,Text,,MEDIUM,СРЕДНИЙ,MITTEL,平均,中等,MOYEN,MÉDIA,평균,平均,MEDIA,ORTA,متوسط,MEDIUM,MEDIUM,GENNEMSNIT,ŚREDNIE,MEDIO,KESKITASO,GEMIDDELD,MÉDIO,ΜΈΣΟΝ,KÖZEPES,MEDIU,СРЕДА,กลาง,STŘEDNÍ,СЕРЕДА
HIGH,Text,,HIGH,Высокое качество,HOCH,高,高,ÉLÉVÉ,ALTO,높은,高,ALTO,YÜKSEK,عالي,HÖG,HØY,HØJ,WYSOKIE,ALTO,KORKEA,HOOG,ALTO,ΨΗΛΆ,MAGAS,MARE,ВИСОКО,สูง,VYSOKÝ,ВИСОКА
WINDOW,Text,,WINDOW,Оконный,FENSTER,窗口,窗口,MODE FENÊTRÉ,JANELA,창문,ウィンドウ,FINESTRA,PENCERE,نافذة,FÖNSTER,VINDU,VINDUE TILSTAND,TRYB OKNA,MODO VENTANA,IKKUNA,RAAM,JANELA,ΠΑΡΆΘΥΡΟ,ABLAK,FEREASTRĂ,ПРОЗОРЕЦ,หน้าต่าง,OKNO,ВІКНО
FULLSCREEN,Text,,FULLSCREEN,ПОЛНОЭКРАННЫЙ РЕЖИМ,VOLLBILD,全屏,全屏,PLEIN ÉCRAN,TELA CHEIA,전체 화면,全画面表示,A SCHERMO INTERO,TAM EKRAN,تكبير الشاشة,FULLSKÄRM,FULL SKJERM,FULDSKÆRM,PEŁNY EKRAN,MODO PANTALLA COMPLETA,KOKO NÄYTTÖ,VOLLEDIG SCHERM,TELA CHEIA,ΠΛΗΡΗΣ ΟΘΟΝΗ,FULL SCREEN,ECRAN FULL,FULL SCREEN,เต็มหน้าจอ,FULL SCREEN,FULL SCREEN
VSYNC OFF,Text,,VSYNC OFF,VSYNC ВЫКЛ,VSYNC AUS,垂直同步关闭,垂直同步關閉,SYNCHRONISATION VERTICALE DÉSACTIVÉ,SINC-V. DESLIGADO,VSYNC 오프,VSYNCオフ,VSYNC OFF,DİKEY SENKRONİZASYON KAPALI,VSYNC قبالة,VSYNC AV,VSYNC AV,VSYNC SLÅET FRA,VSYNC WYłąCZONY,VSYNC APAGADO,VSYNC POIS,VSYNC UIT,VSYNC DESLIGADO,VSYNC OFF,VSYNC OFF,VSYNC OFF,VSYNC OFF,VSYNC ปิด,VSYNC OFF,VSYNC ВИМКНЕНИЙ
VSYNC ON,Text,,VSYNC ON,VSYNC ВКЛЮЧЁН,VSYNC AN,垂直同步开启,垂直同步開啟,SYNCHRONISATION VERTICALE ACTIVéE,SINC-V. LIGADO,에 수직 동기화,VSYNCオン,VSYNC ATTIVO,VSYNC AÇIK,VSYNC على,VSYNC PÅ,VSYNC PÅ,VSYNC SLÅET TIL,VSYNC WłąCZONY,VSYNC PRENDIDO,VSYNC ON,VSYNC AAN,VSYNC LIGADO,VSYNC ΓΙΑ,VSYNC SZÁMÁRA,VSYNC PENTRU,VYSNC ON,VSYNC สำหรับ,VSYNC PRO,VSYNC ДЛЯ
ANTIALIASING OFF,Text,,ANTIALIASING OFF,Сглаживание Отключено,KANTENGLÄTTUNG AUSSCHALTEN,抗锯齿关闭,抗鋸齒關閉,ANTICRÉNELAGE DÉSACTIVÉ,ANTIALIASING DESLIGADO,오프 앤티 앨리어싱,アンチエイリシング　オフ,ANTIALIAS OFF,ANTIALIASING KAPALI,الحواف خارج,KANTUTJÄMNING AV,ANTIALIASING OFF,ANTI-ALIASING SLÅET FRA,ANTIALIASING WYŁĄCZONY,ANTIALIASING APAGADO,REUNANPEHMENNYS POIS,ANTI-ALIASING UITGESCHAKELD,ANTIALIASING DESLIGADO,ANTIALIASING OFF,ÉLSIMÍTÁS KIKAPCSOLÁSA,ANTIALIASING OFF,ЗАГЛАЖДАНЕ НА РАЗСТОЯНИЕ,การลดรอยหยักปิด,ANTIALIASING OFF,АНТИАЛИАСИНГ ВИМКНЕНИЙ
ANTIALIASING (FXAA),Text,,ANTIALIASING (FXAA),СГЛАЖИВАНИЕ (FXAA),KANTENGLÄTTUNG (FXAA),抗锯齿（低）,抗鋸齒（FXAA）,ANTICRÉNELAGE (FXAA),ANTIALIASING (FXAA),안티 앨리어싱 (FXAA),アンチエイリアシング（FXAA）,ANTIALIASING (FXAA),KESKİNLİĞİ YUMUŞATMA(FXAA),الحواف (FXAA),KANTUTJÄMNING (FXAA),ANTIALIASING (FXAA),ANTI-ALIASING (FXAA),ANTYALIASING (FXAA),ANTIALIASING (FXAA),ANTIALIASING (FXAA),ANTIALIASING (FXAA),ANTIALIASING (FXAA),ANTIALIASING (FXAA),ÉLSIMÍTÁS (FXAA),ANTIALIASING (FXAA),ЗАГЛАЖДАНЕ (FXAA),ลดรอยหยัก (FXAA),ANTIALIASING (FXAA),ЗГЛАДЖУВАННЯ (FXAA)
ANTIALIASING (SMAA),Text,,ANTIALIASING (SMAA),Сглаживание (SMAA),KANTENGLäTTUNG (SMAA),抗锯齿（高）,抗鋸齒（SMAA）,ANTICRÉNELAGE (SMAA),ANTIALIASING (SMAA),안티 앨리어싱 (작은),アンチエイリアシング（SMAA）,ANTIALIASING (SMAA),KESKİNLİĞİ YUMUŞATMA(SMAA),الحواف (صغير),KANTUTJÄMNING (SMAA),ANTIALIASING (SMAA),ANTI-ALIASING (SMAA),ANTYALIASING (SMAA),ANTIALIASING (SMAA),ANTIALIASING (PIENI),ANTIALIASING (SMAA),ANTIALIASING (SMAA),ANTIALIASING (SMAA),ÉLSIMÍTÁS (SMAA),ANTIALIASING (SMAA),ЗАГЛАЖДАНЕ (SMAA),ลดรอยหยัก (SMAA),ANTIALIASING (SMAA),ЗГЛАДЖУВАННЯ (SMAA)
DYNAMIC REFLECTIONS OFF,Text,,DYNAMIC REFLECTIONS OFF,ДИНАМИЧЕСКИЕ ОТРАЖЕНИЯ ОТКЛ,DYNAMISCHE REFLEKTIONEN AUS,动态反射关闭,動態反射關閉,RéFLEXIONS DYNAMIQUES DéSACTIVéES,REFLEXOS DINÂMICOS DESLIGADO,오프 동적 반사,動的反射オフ,RIFLESSI DINAMICI OFF,DINAMIK YANSIMALAR KAPALI,تأملات ديناميكية قبالة,DYNAMISKA REFLEKTIONER AV,DYNAMISKE REFLEKSJONER AV,DYNAMISK REFLEKTIONER SLÅET FRA,DYNAMICZNE ODBICIA WYłąCZONE,REFLEJOS DINAMICOS APAGADO,DYNAAMISET HEIJASTUKSET POIS,DYNAMISCHE REFLECTIES UIT,REFLEXOS DINÂMICOS DESLIGADO,ΔΥΝΑΜΙΚΈΣ ΑΝΑΚΛΆΣΕΙΣ,DINAMIKUS TÜKRÖZŐDÉS BE,ANAKLASEIS DINAMICE,DYNAMIC ANAKLASEIS,ANAKLASEIS DYNAMIC,DYNAMIC ANAKLASEIS,ДИНАМІЧНІ ANAKLASEIS
DYNAMIC REFLECTIONS ON,Text,,DYNAMIC REFLECTIONS ON,Динамические отражения ВКЛ,DYNAMISCHE REFLEKTIONEN AN,动态反射开启,動態反射開啟,RéFLEXIONS DYNAMIQUES ACTIVéES,REFLEXOS DINÂMICOS LIGADO,동적 반사,動的反射オン,RIFLESSIONI DINAMICHE ON,DINAMIK YANSIMALAR AÇIK,تأملات الحيوية على,DYNAMISKA REFLEKTIONER PÅ,DYNAMISKE REFLEKSJONER,DYNAMISK REFLEKTIONER SLÅET TIL,DYNAMICZNE ODBICIA WłąCZONE,REFLEJOS DINAMICOS PRENDIDO,DYNAAMISET HEIJASTUKSET PÄÄLLE,DYNAMISCHE REFLECTIES AAN,REFLEXOS DINÂMICOS LIGADO,ΔΥΝΑΜΙΚΉ ΣΚΈΨΕΙΣ ΓΙΑ,DINAMIKUS TÖPRENGETT,CHIBZUIND DINAMIC,ДИНАМИЧЕН РАЗМИШЛЕНИЕ,ขบคิดแบบไดนามิก,DYNAMICKÁ PONDERING,ДИНАМІЧНА ОБДУМУВАННЯ
MOTION BLUR OFF,Text,,MOTION BLUR OFF,РАЗМЫТИЕ ДВИЖЕНИЯ ОТКЛ,BEWEGUNGSUNSCHÄRFE AUS,动态模糊关闭,動態模糊關閉,FLOU DYNAMIQUE DÉSACTIVÉ,DESFOQUE DE MOVIMENTO DESLIGADO,에서 흐림,モーションブラーオフ,SFOCATURA DISATTIVATA,MOTION BLUR KAPALI,طمس من,RÖRELSEOSKÄRPA AV,MOTION BLUR AV,MOTION BLUR SLÅET FRA,ROZYMCIE EKRANU WYłąCZONE,DESENFOQUE DE MOVIMIENTO APAGADO,HÄMÄRTÄÄ ALKAEN,BEWEGINGS BLUR UIT,EFEITO DESFOCADO DESLIGADO,MOTION BLUR OFF,MOTION BLUR OFF,NECLARITATE ÎN MIșCARE OFF,MOTION BLUR РАЗСТОЯНИЕ,การเคลื่อนไหวเบลอปิด,MOTION BLUR OFF,РОЗМИТІСТЬ ВИКЛ
